Date,Price,Open,High,Low,Vol.,Change %
14/12/2021,1.4077,1.4025,1.4105,1.4013,70.60K,0.39%
15/12/2021,1.3949,1.4081,1.41,1.3931,75.19K,-0.91%
16/12/2021,1.3918,1.3947,1.3997,1.3841,66.92K,-0.22%
17/12/2021,1.4033,1.3921,1.4041,1.3915,80.65K,0.83%
20/12/2021,1.4055,1.4015,1.4121,1.3989,79.90K,0.16%
21/12/2021,1.3974,1.4061,1.4088,1.3971,72.79K,-0.58%
22/12/2021,1.386,1.3982,1.4045,1.3846,54.50K,-0.82%
23/12/2021,1.3801,1.3862,1.3899,1.3787,61.91K,-0.43%
24/12/2021,1.3837,1.3807,1.3855,1.3798,55.28K,0.26%
27/12/2021,1.381,1.3845,1.3878,1.3803,30.32K,-0.20%
28/12/2021,1.3831,1.3822,1.3852,1.3765,36.58K,0.15%
29/12/2021,1.3785,1.3833,1.3865,1.375,44.47K,-0.33%
30/12/2021,1.3789,1.3795,1.3807,1.3742,43.96K,0.03%
31/12/2021,1.377,1.3784,1.3806,1.374,52.93K,-0.14%
03/01/2022,1.3902,1.377,1.3921,1.3739,50.96K,0.96%
04/01/2022,1.3812,1.3901,1.3919,1.3792,61.97K,-0.65%
05/01/2022,1.3848,1.3813,1.3861,1.3749,68.10K,0.26%
06/01/2022,1.3957,1.385,1.3997,1.3843,94.67K,0.79%
07/01/2022,1.3928,1.3963,1.4027,1.3911,66.78K,-0.21%
10/01/2022,1.3941,1.3947,1.3989,1.3882,58.30K,0.09%
11/01/2022,1.3868,1.3949,1.3977,1.3861,60.36K,-0.52%
12/01/2022,1.3725,1.387,1.389,1.3711,62.29K,-1.03%
13/01/2022,1.3723,1.3726,1.375,1.367,77.08K,-0.01%
14/01/2022,1.3873,1.3729,1.3894,1.3708,85.00K,1.09%
17/01/2022,1.3866,1.3865,1.3899,1.383,77.28K,-0.05%
18/01/2022,1.3914,1.3872,1.3948,1.3832,110.58K,0.35%
19/01/2022,1.3866,1.3918,1.3935,1.3812,105.47K,-0.34%
20/01/2022,1.3837,1.3867,1.3874,1.3741,93.01K,-0.21%
21/01/2022,1.3918,1.3837,1.3946,1.3827,102.13K,0.59%
22/01/2022,1.3918,,,,,
24/01/2022,1.4002,1.3935,1.4105,1.391,111.55K,0.60%
25/01/2022,1.3982,1.4002,1.4044,1.3935,116.42K,-0.14%
26/01/2022,1.4053,1.3988,1.4092,1.3923,92.25K,0.51%
27/01/2022,1.4213,1.4053,1.4238,1.4039,98.08K,1.14%
28/01/2022,1.431,1.4223,1.4353,1.419,95.31K,0.68%
31/01/2022,1.4146,1.4286,1.432,1.413,74.00K,-1.15%
01/02/2022,1.4027,1.4146,1.422,1.4022,73.31K,-0.84%
02/02/2022,1.401,1.4029,1.405,1.3967,67.00K,-0.12%
03/02/2022,1.4002,1.4016,1.4067,1.3948,94.04K,-0.06%
04/02/2022,1.4128,1.4004,1.4182,1.398,99.60K,0.90%
07/02/2022,1.4031,1.413,1.4155,1.4023,80.73K,-0.69%
08/02/2022,1.3992,1.4037,1.4074,1.3989,94.96K,-0.28%
09/02/2022,1.3928,1.3993,1.4004,1.3898,64.43K,-0.46%
